key,key:manager,tag,indication,cost,description
flight-17,manager-01,Lorem ipsum dolor sit ame,True,EUR 0.01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
flight-18,manager-02,Lorem ipsum dolor sit ame,True,GBP 30.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
flight-19,manager-01,Lorem ipsum dolor sit ame,True,GBP 12345.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
flight-20,manager-02,Lorem ipsum dolor sit ame,True,DOL 667755.12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
flight-21,manager-01,Lorem ipsum dolor sit amet,True,DOL 889900.56,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
flight-22,manager-02,Lorem ipsum dolor sit amet,False,EUR 999999.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
flight-23,manager-01,Lorem ipsum dolor sit amet,True,EUR 1000000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
flight-24,manager-02,Lorem ipsum dolor sit amet,True,EUR 475000.00,"L"
flight-25,manager-01,Lorem ipsum dolor sit amet,False,EUR 510000.00,"Lo"
flight-26,manager-02,Lorem ipsum dolor sit amet,True,EUR 495000.00,"Esto es "
flight-27,manager-01,Lorem ipsum dolor sit amet,False,EUR 530000.00,"Esto es un texto de ejemplo"
flight-28,manager-02,Lorem ipsum dolor sit amet,True,EUR 460000.00,"Esto es un texto de ejemplo mas largo"
flight-29,manager-01,Lorem ipsum dolor sit amet,False,EUR 500000.00,"โลเร็ม อิปซัม"
flight-30,manager-02,Lorem ipsum dolor sit amet,True,EUR 490000.00,"لوريم إيبسوم"
flight-31,manager-01,Lorem ipsum dolor sit amet,True,EUR 505000.00,"洛伦·伊普森"
flight-32,manager-02,Lorem ipsum dolor sit amet,False,EUR 515000.00,"<marquee>Hacked</marquee>"
flight-33,manager-01,Lorem ipsum dolor sit amet,True,EUR 535000.00,"' or 'A' = 'A "
flight-34,manager-02,Lorem ipsum dolor sit amet,True,EUR 450000.00,"Esto es un texto de ejemplo aun mas largo para probar"
flight-35,manager-01,Lorem ipsum dolor sit amet,False,EUR 525000.00,"Probando un texto para valores singulares 1234 .-,$%&/()?¿!1ª"
flight-36,manager-02,Lorem ipsum dolor sit amet,True,EUR 475000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor"
flight-37,manager-01,Lorem ipsum dolor sit amet,True,EUR 515000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*"
